Candidate ID,Name,Job Description,Experience,Skills,Education,Score
1,Candidate 1,looking for a golang developer with backend experience and scalability expertise,Senior Ruby at  (Jan 2024 to N/A)  | Senior Ruby at  (Jan 2021 to N/A)  | Engineering Manager at Delivery Center (Jan 2020 to Dec 2022)  | Lead Engineer at  (Jan 2019 to Dec 2020)  | Senior Software Engineer at  (Jan 2018 to Dec 2019)  | Engineering Manager at  (Jan 2017 to Dec 2018)  | Software Engineer at Snowman Labs (Jan 2017 to Dec 2017)  | Software Engineer at Esfera Tecnologia da Informação (Jan 2016 to Dec 2017)  | Software Engineer at Soluções VendaMais (Jan 2016 to Dec 2018)  | Information Technology Teacher at Pontifícia Universidade Católica do Paraná (Jan 2014 to Dec 2018)  | Video Editor at FACULDADE SÃO BRAZ (Jan 2012 to Dec 2014),Not Provided,Graduate Degree Artificial Intelligence at Pontifical Catholic University of Paraná (Jan 2019 to Dec 2021)  |   at Apple Developers Academy (Jan 2013 to Dec 2014)  |  Digital Games and Development at Pontifical Catholic University of Paraná (Jan 2013 to Dec 2018),40.0
2,Candidate 2,looking for a golang developer with backend experience and scalability expertise,Full Stack Engineer at Tradener (Aug 2023 to Jan 2024)  | Senior Software Engineer at ArcTouch - Mobile & Connected Experiences (Feb 2021 to May 2023)  | Senior Software Engineer at CWS (Feb 2020 to Feb 2021)  | Full Stack Developer at Mercafácil (May 2019 to Aug 2019)  | Full Stack Developer at CINQ Technologies (Dec 2018 to May 2019)  | Rails Engineer at KARZEN Technologies (Oct 2018 to Dec 2018)  | Software Developer at ∞ eits (Aug 2016 to Feb 2017)  | Software Development Intern at ITAI - Instituto de Tecnologia Aplicada e Inovação (Aug 2013 to Mar 2014),Not Provided,"Análise E Desenvolvimento De Sistemas, Tecnologia Da Informação at Federal University of Technology – Paraná (N/A to Jan 2015)",32.12
3,Candidate 3,looking for a golang developer with backend experience and scalability expertise,Software Developer at Apptegy (Feb 2021 to Jan 2024)  | Software Developer at Thincode (Mar 2019 to Feb 2021),Not Provided,"at Nagaoka University of Technology (Jan 2019 to Jan 2019)  |  Ingeniería Informática, Gestión De Proyectos De Tecnología De La Información at Universidad Pública de Navarra (Jan 2017 to Jan 2018)  |  Computer Systems and Artificial Intelligence at Universidad de Guanajuato (Jan 2013 to Jan 2018)",9.48
4,Candidate 4,looking for a golang developer with backend experience and scalability expertise,Senior Software Engineer at Hubstaff (Jul 2024 to N/A)  | Senior Software Engineer at Mercado Livre (Apr 2022 to Jul 2024)  | Senior Software Engineer at enjoei (May 2021 to Apr 2022)  | Senior Ruby and Rails Engineer at PagSeguro PagBank (Aug 2019 to May 2021)  | Software Engineer at Locaweb (Jul 2018 to Aug 2019)  | Software Engineer at Daitan Group (May 2017 to Jul 2018)  | Rails Developer at Gympass (Nov 2016 to May 2017)  | Ruby Developer at Caiena (Jun 2015 to May 2016),Not Provided,Cloud Computing at Pontifical Catholic University of Minas Gerais (Jan 2021 to Jan 2022)  | Bachelor of Technology Systems Development at São Paulo State Technological College (Jan 2013 to Jan 2015),28.56
5,Candidate 5,looking for a golang developer with backend experience and scalability expertise,Backend Developer at Papa John's Chile (Nov 2020 to Jun 2021)  | Backend Developer at Mercat (Nov 2020 to N/A)  | Rails Developer at Human Search (Jun 2020 to Nov 2020)  | Rails Developer at 4Talent (Mar 2019 to May 2019)  | Rails Developer at FELITECH Consulting (Nov 2017 to Feb 2019),Not Provided,"Ingeniería, Ingeniería Informática at Metropolitan University of Technology (Jan 2011 to Jan 2017)",25.66
6,Candidate 6,looking for a golang developer with backend experience and scalability expertise,Senior Developer at FollowUP Customer Experience (Aug 2019 to N/A)  | Senior Developer at PlagLabs (Jan 2019 to Jul 2019)  | Developer at WebCarga (Aug 2015 to Jan 2019),Not Provided,"Bachelor of Science Ingeniería Informática at University of Holguín (Jan 2009 to Jan 2014)  | Certificate (Advanced Level) Examination ,Sri Lanka Year 2007, Mathematica at Galahitiyawa Central College (Jan 1996 to Jan 2005)",18.86
7,Candidate 7,looking for a golang developer with backend experience and scalability expertise,Business Development Representative at Smith.ai (May 2023 to N/A)  | Advisorist at  (Oct 2022 to Mar 2023)  | Inside Sales Executive at Dental Departures (Worldwide) (Sep 2021 to Mar 2022)  | Property Manager Assistant at TrustHome Properties (Oct 2020 to N/A)  | Customer Service Representative at TUI (Jul 2018 to Jan 2021)  | Marketing Executive at Paris Smith (Jan 2016 to Dec 2017)  | Personal Assistant at Orangetheory Fitness (Jan 2015 to Dec 2015),Administration,Bachelor of Arts Sport and Social at University of Bath (N/A to Dec 2014),22.2
8,Candidate 8,looking for a golang developer with backend experience and scalability expertise,Social Media Manager at Regional Subdustribution coordinato (Jan 2021 to Dec 2022)  | Community Manager Junior at Tiburonzzito (Jan 2019 to Dec 2019)  | Community Manager at SA Autocredit (Jan 2017 to Dec 2019)  | Sales Manager at Spaceland (Jan 2017 to Dec 2017)  | Business Development Executive at Infotech Global Solutions (N/A to N/A),Not Provided,Not Provided,16.5
9,Candidate 9,looking for a golang developer with backend experience and scalability expertise,Senior Recruiter at Specialized Bicycle Components None (Apr 2022 to Jun 2024),Not Provided,Master of Arts Irish Studies at University of Liverpool (Sep 2008 to Dec 2009)  | Bachelor of Arts History at University of Central Florida (Aug 2004 to Aug 2008),3.6
10,Candidate 10,looking for a golang developer with backend experience and scalability expertise,Devops Engineer at Upstart Network (Jun 2022 to May 2024)  | Senior Engineer at Blue Cross Blue Shield of Massachusetts (Nov 2019 to Mar 2022)  | Internal Application Developer at Tracelink (Aug 2017 to Nov 2019)  | Advanced Consultant at OpenText Technologies (Mar 2014 to Aug 2014)  | Associate at Cognizant Technologies Solutions (Dec 2009 to Feb 2014),Not Provided,"Master of Science Information Systems at Northeastern University (Jan 2015 to Dec 2017)  | Bachelor of Engineering Computer Science and Engineering at University College of Engineering, Osmania University (Jan 2005 to Dec 2009)",18.34
11,Candidate 11,looking for a golang developer with backend experience and scalability expertise,Developer at CRIA INCUBATOR (Jul 2023 to N/A)  | Developer at SANTANDER UNIVERSIDADE (Aug 2021 to Jun 2023)  | Professional Activities at Areal (Jan 2002 to N/A)  | Technical Consultant at Hvtec (N/A to N/A),Not Provided,H-Vtec Technical Consultant at São Paulo State University (Jan 2020 to Aug 2022),13.15
12,Candidate 12,looking for a golang developer with backend experience and scalability expertise,Software Engineer at Cantera Digital (Mar 2024 to N/A)  | Software Engineer at Arkusnexus (Jan 2023 to Mar 2023)  | Software Engineer at Homie (Jan 2021 to Dec 2021)  | Software Engineer at InstaFit (Jan 2019 to Feb 2019),Software Development|Ruby|PostgreSQL|Ruby on Rails|Front-End Development|React.js,Systems Engineering at Tecnológico de Estudios Superiores de Ecatepec (Feb 2009 to Aug 2009),11.7
13,Candidate 13,looking for a golang developer with backend experience and scalability expertise,Backend Engineer at TechNerds (N/A to N/A)  | Full Stack Engineer at GreenPearls (N/A to N/A),Not Provided,Bachelor Computer Science at Institute of Management Sciences (Peshawar) (N/A to N/A),10.59
14,Candidate 14,looking for a golang developer with backend experience and scalability expertise,Senior Full and Stack Blockchain Developer at Google (Jan 2018 to N/A)  | Stack Developer at Innovative Tech Solutions (Jun 2013 to Dec 2017)  | Web Developer at Tech Pioneers (Aug 2011 to May 2013),Not Provided,Bachelor of Science Computer Science at University of Florida (Aug 2007 to May 2011),16.11
15,Candidate 15,looking for a golang developer with backend experience and scalability expertise,Senior Full and Stack Blockchain Developer at Google (Jan 2018 to N/A)  | Stack Developer at Innovative Tech Solutions (Jun 2013 to Dec 2017)  | Web Developer at Tech Pioneers (Aug 2011 to May 2013),Not Provided,Bachelor of Science Computer Science at University of Florida (Aug 2007 to May 2011),16.24
16,Candidate 16,looking for a golang developer with backend experience and scalability expertise,Devops Engineer at FABIUS LABS (Oct 2021 to N/A)  | Devops Engineer at  (Jun 2017 to Aug 2021)  | Backend Developer at TOPTAL (Aug 2014 to Mar 2017),Not Provided,Master'S  at Florida International University (Jan 2009 to Dec 2014),14.84
